id,title,description,imdb_rate,director,poster_url
1,"Oppenheimer","The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.",8.3,"Christopher Nolan","https://www.movieposters.com/cdn/shop/files/oppenheimer_ver3_480x.progressive.jpg?v=1685026118"
2,"Tenet","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",6.7,"Christopher Nolan","https://www.movieposters.com/cdn/shop/files/tenet_topbsizl_480x.progressive.jpg?v=1698433999"
3,"Interstellar","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",7.9,"Christopher Nolan","https://www.movieposters.com/cdn/shop/files/interstellar-139399_480x.progressive.jpg?v=1708527823"
4,"Seven","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.3,"David Fincher","https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,8,190,281_.jpg"
5,"Fight Club","An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.",8.8,"David Fincher","https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
6,"The Social Network","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",7.7,"David Fincher","https://www.movieposters.com/cdn/shop/products/2b3adf28f07240c40a9ba5f2bd01df3f_1776be06-81df-4a1e-85e6-146ff6513eb0_480x.progressive.jpg?v=1573593770"
7,"Django Unchained","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",8.3,"Quentin Tarantino","https://www.movieposters.com/cdn/shop/products/ff35c38cb67f47a5f4cbec6c92a5d5a8_acb37f4c-8110-4bc9-b597-01e75e565a60_480x.progressive.jpg?v=1573587558"
8,"Eyes Wide Shut","A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him.",7.3,"Stanley Kubrick","https://www.movieposters.com/cdn/shop/files/eyes-wide-shut_8c69dfe6_5e86e785-34e8-4169-972c-b177fb56ee36_480x.progressive.jpg?v=1710359607"
9,"Pulp Fiction","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.3,"Quentin Tarantino","https://www.movieposters.com/cdn/shop/products/pulpfiction.2436_480x.progressive.jpg?v=1620048742"
10,"The Favorite","In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.",7.5,"Yorgos Lanthimos","https://www.movieposters.com/cdn/shop/products/723305e01e5747e6c1db84861976812c_7bb343ce-d3d1-4220-97d6-6b2d83e643e0_480x.progressive.jpg?v=1573592674"
11,"2001: A Space Odyssey","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",8.3,"Stanley Kubrick","https://www.movieposters.com/cdn/shop/products/2001-a-space-odyssey_480x.progressive.jpg?v=1680270711"
12,"Psycho","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by",8.5,"Alfred Hitchcock","https://www.movieposters.com/cdn/shop/files/psycho.mpw.121663_480x.progressive.jpg?v=1709329584"
13,"Lobster","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",7.2,"Yorgos Lanthimos","https://m.media-amazon.com/images/M/MV5BNDQ1NDE5NzQ1NF5BMl5BanBnXkFtZTgwNzA5OTM2NTE@._V1_QL75_UY281_CR4,0,190,281_.jpg"
14,"Parasite","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",8.6,"Bong Joon Ho","https://www.movieposters.com/cdn/shop/products/parasite-24x36_480x.progressive.jpg?v=1590609910"
15,"The Killing of a Sacred Deer","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",7.0,"Yorgos Lanthimos","https://www.movieposters.com/cdn/shop/products/34486336a4c8c078de7c014b2b8eaa05_697620ba-8109-4477-bbb3-1bbfe89dbd9c_480x.progressive.jpg?v=1573615988"
